,model_type,k_ar,params,coint_rank,k_ar_diff,alpha,beta,gamma,det_coef
IHF_ILCB,VAR,10.0,"               IHF_rtn  ILCB_rtn
const         0.000554  0.000418
L1.IHF_rtn   -0.022153 -0.026287
L1.ILCB_rtn  -0.018323 -0.084789
L2.IHF_rtn    0.027325  0.023740
L2.ILCB_rtn   0.002187 -0.012199
L3.IHF_rtn   -0.001122  0.007911
L3.ILCB_rtn   0.025753  0.010739
L4.IHF_rtn   -0.029658 -0.015030
L4.ILCB_rtn   0.005020 -0.032320
L5.IHF_rtn   -0.021258 -0.041297
L5.ILCB_rtn   0.004848  0.025527
L6.IHF_rtn   -0.012770 -0.008997
L6.ILCB_rtn  -0.025712 -0.038291
L7.IHF_rtn   -0.011908  0.004407
L7.ILCB_rtn   0.062806  0.041284
L8.IHF_rtn   -0.048339 -0.042143
L8.ILCB_rtn   0.005869  0.001329
L9.IHF_rtn    0.004990  0.002803
L9.ILCB_rtn   0.060728  0.052138
L10.IHF_rtn  -0.068859 -0.035991
L10.ILCB_rtn  0.026043  0.033325",,,,,,
IHF_ILCG,VAR,10.0,"               IHF_rtn  ILCG_rtn
const         0.000550  0.000526
L1.IHF_rtn   -0.036382 -0.049980
L1.ILCG_rtn   0.005354 -0.046102
L2.IHF_rtn    0.031282  0.039680
L2.ILCG_rtn  -0.001322 -0.043919
L3.IHF_rtn   -0.002099 -0.006869
L3.ILCG_rtn   0.026120  0.009612
L4.IHF_rtn   -0.016018 -0.024837
L4.ILCG_rtn  -0.016437 -0.020869
L5.IHF_rtn   -0.022279 -0.032803
L5.ILCG_rtn   0.006763 -0.000937
L6.IHF_rtn   -0.024612 -0.000591
L6.ILCG_rtn  -0.006343 -0.040473
L7.IHF_rtn   -0.007696 -0.001811
L7.ILCG_rtn   0.055649  0.048715
L8.IHF_rtn   -0.028114 -0.012186
L8.ILCG_rtn  -0.025960 -0.044362
L9.IHF_rtn    0.027979  0.026955
L9.ILCG_rtn   0.021050  0.024564
L10.IHF_rtn  -0.059689 -0.020321
L10.ILCG_rtn  0.008831  0.008987",,,,,,
IHF_IUSG,VAR,10.0,"               IHF_rtn  IUSG_rtn
const         0.000543  0.000497
L1.IHF_rtn   -0.040997 -0.050651
L1.IUSG_rtn   0.010492 -0.047090
L2.IHF_rtn    0.031053  0.032966
L2.IUSG_rtn  -0.001194 -0.035137
L3.IHF_rtn   -0.000356  0.006843
L3.IUSG_rtn   0.022510 -0.001010
L4.IHF_rtn   -0.026033 -0.033786
L4.IUSG_rtn  -0.001753 -0.011060
L5.IHF_rtn   -0.024024 -0.030341
L5.IUSG_rtn   0.010316  0.003822
L6.IHF_rtn   -0.029780 -0.012711
L6.IUSG_rtn   0.001052 -0.028301
L7.IHF_rtn   -0.011825  0.004695
L7.IUSG_rtn   0.063170  0.037107
L8.IHF_rtn   -0.039427 -0.026712
L8.IUSG_rtn  -0.008863 -0.023979
L9.IHF_rtn    0.014353  0.022796
L9.IUSG_rtn   0.043897  0.035945
L10.IHF_rtn  -0.070102 -0.026042
L10.IUSG_rtn  0.026385  0.027172",,,,,,
IHF_IVW,VAR,10.0,"              IHF_rtn   IVW_rtn
const        0.000547  0.000513
L1.IHF_rtn  -0.035751 -0.048944
L1.IVW_rtn   0.003309 -0.073740
L2.IHF_rtn   0.042108  0.050013
L2.IVW_rtn  -0.017543 -0.056497
L3.IHF_rtn   0.008053  0.005437
L3.IVW_rtn   0.007755 -0.002591
L4.IHF_rtn  -0.025372 -0.039010
L4.IVW_rtn  -0.003404 -0.006954
L5.IHF_rtn  -0.020848 -0.024652
L5.IVW_rtn   0.005568  0.002012
L6.IHF_rtn  -0.034996 -0.025883
L6.IVW_rtn   0.008168 -0.014971
L7.IHF_rtn  -0.012949  0.008771
L7.IVW_rtn   0.066388  0.031750
L8.IHF_rtn  -0.029487 -0.013923
L8.IVW_rtn  -0.022402 -0.034774
L9.IHF_rtn   0.018153  0.024514
L9.IVW_rtn   0.036591  0.025362
L10.IHF_rtn -0.071587 -0.030641
L10.IVW_rtn  0.029770  0.027255",,,,,,
IHF_IXN,VAR,10.0,"              IHF_rtn   IXN_rtn
const        0.000534  0.000622
L1.IHF_rtn  -0.036799 -0.077957
L1.IXN_rtn   0.006562 -0.039657
L2.IHF_rtn   0.031556  0.056794
L2.IXN_rtn  -0.002627 -0.055488
L3.IHF_rtn   0.001812 -0.014828
L3.IXN_rtn   0.018570  0.016571
L4.IHF_rtn  -0.029429 -0.029819
L4.IXN_rtn   0.004076 -0.024395
L5.IHF_rtn  -0.034719 -0.042128
L5.IXN_rtn   0.025561  0.025745
L6.IHF_rtn  -0.018384 -0.014422
L6.IXN_rtn  -0.012986 -0.044027
L7.IHF_rtn  -0.013616 -0.003399
L7.IXN_rtn   0.063377  0.055917
L8.IHF_rtn  -0.025943 -0.005956
L8.IXN_rtn  -0.025777 -0.061605
L9.IHF_rtn   0.025314  0.012751
L9.IXN_rtn   0.025049  0.042285
L10.IHF_rtn -0.067817 -0.007450
L10.IXN_rtn  0.022576  0.004978",,,,,,
IJH_ACWI,VAR,10.0,"               IJH_rtn  ACWI_rtn
const         0.000404  0.000214
L1.IJH_rtn   -0.040599  0.033931
L1.ACWI_rtn  -0.042997 -0.132098
L2.IJH_rtn    0.021235  0.059682
L2.ACWI_rtn   0.009317 -0.062076
L3.IJH_rtn   -0.074204 -0.026794
L3.ACWI_rtn   0.079022  0.024273
L4.IJH_rtn   -0.118622 -0.084394
L4.ACWI_rtn   0.080102  0.055555
L5.IJH_rtn    0.076344  0.088845
L5.ACWI_rtn  -0.106588 -0.110363
L6.IJH_rtn   -0.037865  0.006255
L6.ACWI_rtn  -0.003510 -0.038562
L7.IJH_rtn    0.043392  0.025750
L7.ACWI_rtn   0.008833  0.000623
L8.IJH_rtn    0.040509 -0.009696
L8.ACWI_rtn  -0.070953 -0.010647
L9.IJH_rtn    0.124182  0.092651
L9.ACWI_rtn  -0.095280 -0.076882
L10.IJH_rtn   0.143839  0.141460
L10.ACWI_rtn -0.143967 -0.154979",,,,,,
IJH_TOK,VAR,10.0,"              IJH_rtn   TOK_rtn
const        0.000429  0.000179
L1.IJH_rtn  -0.107500  0.329655
L1.TOK_rtn   0.046330 -0.376457
L2.IJH_rtn  -0.045239  0.107116
L2.TOK_rtn   0.093059 -0.099019
L3.IJH_rtn  -0.011465  0.025111
L3.TOK_rtn  -0.011058 -0.065016
L4.IJH_rtn  -0.042846  0.015594
L4.TOK_rtn  -0.007525 -0.062328
L5.IJH_rtn  -0.083037 -0.020845
L5.TOK_rtn   0.101004  0.058985
L6.IJH_rtn  -0.033268 -0.006569
L6.TOK_rtn  -0.029988 -0.048473
L7.IJH_rtn   0.070541  0.087242
L7.TOK_rtn  -0.022531 -0.056104
L8.IJH_rtn   0.033422  0.028983
L8.TOK_rtn  -0.057952 -0.057039
L9.IJH_rtn   0.084905  0.043574
L9.TOK_rtn  -0.045600 -0.022114
L10.IJH_rtn  0.137375  0.067904
L10.TOK_rtn -0.154893 -0.100144",,,,,,
IJH_WOOD,VAR,10.0,"               IJH_rtn  WOOD_rtn
const         0.000467  0.000266
L1.IJH_rtn   -0.042446  0.164377
L1.WOOD_rtn  -0.036532 -0.191636
L2.IJH_rtn   -0.047313 -0.049938
L2.WOOD_rtn   0.081593  0.072837
L3.IJH_rtn   -0.052350 -0.043645
L3.WOOD_rtn   0.044490  0.030590
L4.IJH_rtn   -0.146666 -0.151823
L4.WOOD_rtn   0.096186  0.110680
L5.IJH_rtn   -0.015560 -0.049160
L5.WOOD_rtn  -0.003623  0.049677
L6.IJH_rtn   -0.045704 -0.053465
L6.WOOD_rtn   0.006490  0.016056
L7.IJH_rtn   -0.016226  0.004837
L7.WOOD_rtn   0.072110  0.054475
L8.IJH_rtn   -0.020808 -0.100805
L8.WOOD_rtn  -0.001631  0.084625
L9.IJH_rtn    0.123413  0.143703
L9.WOOD_rtn  -0.082223 -0.103126
L10.IJH_rtn   0.113296  0.123039
L10.WOOD_rtn -0.090958 -0.091228",,,,,,
IJJ_ACWI,VAR,10.0,"               IJJ_rtn  ACWI_rtn
const         0.000396  0.000239
L1.IJJ_rtn   -0.058151  0.013776
L1.ACWI_rtn  -0.038187 -0.112329
L2.IJJ_rtn   -0.002921  0.039660
L2.ACWI_rtn   0.035550 -0.042563
L3.IJJ_rtn   -0.069605 -0.033262
L3.ACWI_rtn   0.078801  0.032678
L4.IJJ_rtn   -0.130955 -0.085832
L4.ACWI_rtn   0.102383  0.059811
L5.IJJ_rtn    0.050192  0.050831
L5.ACWI_rtn  -0.080687 -0.072982
L6.IJJ_rtn   -0.007541  0.016852
L6.ACWI_rtn  -0.026730 -0.049204
L7.IJJ_rtn    0.059520  0.027092
L7.ACWI_rtn  -0.002838 -0.000142
L8.IJJ_rtn    0.046239  0.002612
L8.ACWI_rtn  -0.072870 -0.021836
L9.IJJ_rtn    0.094666  0.068412
L9.ACWI_rtn  -0.066270 -0.053800
L10.IJJ_rtn   0.119695  0.111741
L10.ACWI_rtn -0.112895 -0.126183",,,,,,
IMCV_IWM,VAR,10.0,"              IMCV_rtn   IWM_rtn
const         0.000303  0.000373
L1.IMCV_rtn  -0.172325 -0.059898
L1.IWM_rtn    0.138980 -0.028417
L2.IMCV_rtn   0.010926  0.080512
L2.IWM_rtn    0.013757 -0.043628
L3.IMCV_rtn  -0.094223  0.004379
L3.IWM_rtn    0.067932 -0.007678
L4.IMCV_rtn   0.004523 -0.033354
L4.IWM_rtn   -0.028782 -0.017559
L5.IMCV_rtn  -0.000566  0.034687
L5.IWM_rtn   -0.005294 -0.050288
L6.IMCV_rtn  -0.080280 -0.091977
L6.IWM_rtn    0.034687  0.046281
L7.IMCV_rtn   0.063666  0.048168
L7.IWM_rtn    0.000321 -0.005403
L8.IMCV_rtn   0.044707  0.026372
L8.IWM_rtn   -0.061893 -0.044372
L9.IMCV_rtn   0.082317  0.038892
L9.IWM_rtn   -0.043242 -0.013671
L10.IMCV_rtn  0.015232 -0.028587
L10.IWM_rtn   0.014364  0.048425",,,,,,
IVV_ACWI,VAR,10.0,"               IVV_rtn  ACWI_rtn
const         0.000436  0.000254
L1.IVV_rtn   -0.252380 -0.114343
L1.ACWI_rtn   0.131897  0.008817
L2.IVV_rtn   -0.152451 -0.117013
L2.ACWI_rtn   0.140684  0.105908
L3.IVV_rtn   -0.093754 -0.075286
L3.ACWI_rtn   0.102810  0.068116
L4.IVV_rtn   -0.154774 -0.169950
L4.ACWI_rtn   0.113532  0.127929
L5.IVV_rtn    0.105644  0.167888
L5.ACWI_rtn  -0.127013 -0.174638
L6.IVV_rtn   -0.025998  0.030350
L6.ACWI_rtn  -0.008109 -0.060931
L7.IVV_rtn    0.022622 -0.018644
L7.ACWI_rtn   0.023597  0.047887
L8.IVV_rtn   -0.112077 -0.096285
L8.ACWI_rtn   0.079024  0.074222
L9.IVV_rtn    0.319721  0.328429
L9.ACWI_rtn  -0.273594 -0.284399
L10.IVV_rtn   0.125221  0.152560
L10.ACWI_rtn -0.112211 -0.146016",,,,,,
IWB_ACWI,VAR,9.0,"              IWB_rtn  ACWI_rtn
const        0.000442  0.000271
L1.IWB_rtn  -0.189888 -0.054397
L1.ACWI_rtn  0.088851 -0.040457
L2.IWB_rtn  -0.176508 -0.137608
L2.ACWI_rtn  0.165138  0.122840
L3.IWB_rtn  -0.019491 -0.004872
L3.ACWI_rtn  0.039212  0.005591
L4.IWB_rtn  -0.200116 -0.217892
L4.ACWI_rtn  0.153905  0.173782
L5.IWB_rtn   0.124643  0.192143
L5.ACWI_rtn -0.140177 -0.193668
L6.IWB_rtn  -0.067650 -0.028078
L6.ACWI_rtn  0.022673 -0.011423
L7.IWB_rtn   0.029240 -0.007564
L7.ACWI_rtn  0.019471  0.038100
L8.IWB_rtn  -0.066875 -0.066814
L8.ACWI_rtn  0.032957  0.043090
L9.IWB_rtn   0.274784  0.281523
L9.ACWI_rtn -0.224388 -0.238882",,,,,,
IWM_ACWI,VAR,8.0,"              IWM_rtn  ACWI_rtn
const        0.000422  0.000263
L1.IWM_rtn   0.001917  0.064530
L1.ACWI_rtn -0.106448 -0.167294
L2.IWM_rtn   0.000744  0.052352
L2.ACWI_rtn  0.041614 -0.053844
L3.IWM_rtn  -0.063457 -0.029730
L3.ACWI_rtn  0.087426  0.028885
L4.IWM_rtn  -0.067618 -0.063395
L4.ACWI_rtn  0.024580  0.035277
L5.IWM_rtn   0.016057  0.019571
L5.ACWI_rtn -0.053240 -0.042590
L6.IWM_rtn   0.017910  0.047292
L6.ACWI_rtn -0.052567 -0.082559
L7.IWM_rtn  -0.020690 -0.012003
L7.ACWI_rtn  0.071358  0.042638
L8.IWM_rtn   0.021959 -0.038694
L8.ACWI_rtn -0.060770  0.017992",,,,,,
IWM_SCZ,VAR,6.0,"             IWM_rtn   SCZ_rtn
const       0.000457  0.000180
L1.IWM_rtn -0.067565  0.027625
L1.SCZ_rtn -0.019746 -0.107165
L2.IWM_rtn -0.098937 -0.031474
L2.SCZ_rtn  0.181079  0.112854
L3.IWM_rtn -0.025728 -0.006146
L3.SCZ_rtn  0.036053  0.007827
L4.IWM_rtn -0.084291 -0.031646
L4.SCZ_rtn  0.048353 -0.001047
L5.IWM_rtn -0.011516  0.022638
L5.SCZ_rtn -0.018131 -0.014724
L6.IWM_rtn -0.016348  0.013088
L6.SCZ_rtn -0.017283 -0.054118",,,,,,
IWM_SUSA,VAR,9.0,"              IWM_rtn  SUSA_rtn
const        0.000379  0.000382
L1.IWM_rtn   0.046316  0.127052
L1.SUSA_rtn -0.173370 -0.223228
L2.IWM_rtn  -0.015786  0.045068
L2.SUSA_rtn  0.051100 -0.065623
L3.IWM_rtn  -0.055860  0.004539
L3.SUSA_rtn  0.082423 -0.008180
L4.IWM_rtn  -0.018339 -0.038418
L4.SUSA_rtn -0.042541 -0.002197
L5.IWM_rtn  -0.043361  0.003048
L5.SUSA_rtn  0.025728 -0.020888
L6.IWM_rtn   0.051563  0.057526
L6.SUSA_rtn -0.110429 -0.113287
L7.IWM_rtn  -0.042910 -0.038504
L7.SUSA_rtn  0.105411  0.102197
L8.IWM_rtn   0.020278  0.006623
L8.SUSA_rtn -0.063456 -0.053716
L9.IWM_rtn  -0.074978 -0.050860
L9.SUSA_rtn  0.140066  0.121103",,,,,,
IWM_WOOD,VAR,8.0,"              IWM_rtn  WOOD_rtn
const        0.000464  0.000298
L1.IWM_rtn  -0.036516  0.152727
L1.WOOD_rtn -0.048433 -0.186855
L2.IWM_rtn  -0.041162 -0.029755
L2.WOOD_rtn  0.087725  0.059898
L3.IWM_rtn  -0.051029 -0.039894
L3.WOOD_rtn  0.058826  0.027230
L4.IWM_rtn  -0.104594 -0.111111
L4.WOOD_rtn  0.062488  0.077588
L5.IWM_rtn  -0.022755 -0.034429
L5.WOOD_rtn -0.005042  0.033514
L6.IWM_rtn  -0.009291 -0.015183
L6.WOOD_rtn -0.015283 -0.017115
L7.IWM_rtn  -0.024620  0.000782
L7.WOOD_rtn  0.070684  0.057703
L8.IWM_rtn  -0.035137 -0.102617
L8.WOOD_rtn  0.011686  0.094904",,,,,,
IWV_ACWI,VAR,10.0,"               IWV_rtn  ACWI_rtn
const         0.000428  0.000252
L1.IWV_rtn   -0.254175 -0.095481
L1.ACWI_rtn   0.139744 -0.006936
L2.IWV_rtn   -0.100125 -0.059538
L2.ACWI_rtn   0.103840  0.058458
L3.IWV_rtn   -0.082554 -0.052744
L3.ACWI_rtn   0.097134  0.048275
L4.IWV_rtn   -0.156329 -0.182208
L4.ACWI_rtn   0.112837  0.142322
L5.IWV_rtn    0.099278  0.138029
L5.ACWI_rtn  -0.123283 -0.150273
L6.IWV_rtn   -0.007092  0.059812
L6.ACWI_rtn  -0.026809 -0.088657
L7.IWV_rtn   -0.051076 -0.082999
L7.ACWI_rtn   0.095142  0.108760
L8.IWV_rtn   -0.067975 -0.089026
L8.ACWI_rtn   0.037618  0.065848
L9.IWV_rtn    0.311113  0.300791
L9.ACWI_rtn  -0.272198 -0.264689
L10.IWV_rtn   0.140572  0.161226
L10.ACWI_rtn -0.126154 -0.156397",,,,,,
IXP_IYH,VAR,8.0,"             IXP_rtn   IYH_rtn
const       0.000190  0.000473
L1.IXP_rtn -0.081850 -0.038710
L1.IYH_rtn -0.081496 -0.040423
L2.IXP_rtn -0.039460 -0.029203
L2.IYH_rtn  0.001965  0.017652
L3.IXP_rtn -0.024888  0.013392
L3.IYH_rtn  0.007843  0.001708
L4.IXP_rtn -0.011213  0.007400
L4.IYH_rtn -0.028482 -0.053180
L5.IXP_rtn -0.045726 -0.036574
L5.IYH_rtn  0.006295  0.022138
L6.IXP_rtn -0.050226 -0.017054
L6.IYH_rtn -0.023752 -0.024337
L7.IXP_rtn -0.001007  0.024973
L7.IYH_rtn  0.029347  0.017649
L8.IXP_rtn  0.046931  0.034396
L8.IYH_rtn -0.081986 -0.090600",,,,,,
IYH_ACWI,VAR,10.0,"               IYH_rtn  ACWI_rtn
const         0.000569  0.000327
L1.IYH_rtn   -0.052330 -0.088116
L1.ACWI_rtn  -0.022059 -0.033849
L2.IYH_rtn   -0.016366 -0.039635
L2.ACWI_rtn   0.007341  0.023235
L3.IYH_rtn   -0.013790  0.015711
L3.ACWI_rtn   0.034430 -0.011661
L4.IYH_rtn   -0.072497 -0.068427
L4.ACWI_rtn   0.026065  0.022285
L5.IYH_rtn    0.017801  0.014895
L5.ACWI_rtn  -0.023941 -0.030092
L6.IYH_rtn   -0.061037 -0.031706
L6.ACWI_rtn   0.024614 -0.017214
L7.IYH_rtn    0.028828  0.020337
L7.ACWI_rtn   0.017994  0.016521
L8.IYH_rtn   -0.072012 -0.055719
L8.ACWI_rtn   0.018361  0.025703
L9.IYH_rtn    0.044372  0.071557
L9.ACWI_rtn  -0.010613 -0.030129
L10.IYH_rtn  -0.064292 -0.031341
L10.ACWI_rtn  0.030197  0.008564",,,,,,
IYH_TOK,VAR,9.0,"             IYH_rtn   TOK_rtn
const       0.000523  0.000237
L1.IYH_rtn -0.066473  0.169680
L1.TOK_rtn -0.004837 -0.166938
L2.IYH_rtn -0.044446 -0.023928
L2.TOK_rtn  0.044280  0.019796
L3.IYH_rtn  0.016150 -0.005653
L3.TOK_rtn -0.004033 -0.025159
L4.IYH_rtn -0.037551  0.017172
L4.TOK_rtn -0.007779 -0.057326
L5.IYH_rtn -0.056562 -0.054702
L5.TOK_rtn  0.062706  0.070772
L6.IYH_rtn -0.026682 -0.038250
L6.TOK_rtn -0.016094 -0.029461
L7.IYH_rtn  0.021271  0.055635
L7.TOK_rtn  0.031333 -0.008391
L8.IYH_rtn -0.048192 -0.030068
L8.TOK_rtn -0.009435 -0.005876
L9.IYH_rtn  0.018157  0.037440
L9.TOK_rtn  0.018659  0.015728",,,,,,
IYK_ACWI,VAR,9.0,"              IYK_rtn  ACWI_rtn
const        0.000410  0.000233
L1.IYK_rtn  -0.039733 -0.003153
L1.ACWI_rtn -0.048895 -0.096931
L2.IYK_rtn  -0.068090 -0.068702
L2.ACWI_rtn  0.042046  0.040661
L3.IYK_rtn  -0.023131 -0.004257
L3.ACWI_rtn  0.031900  0.002740
L4.IYK_rtn  -0.086299 -0.077683
L4.ACWI_rtn  0.043165  0.026673
L5.IYK_rtn  -0.000081  0.041376
L5.ACWI_rtn -0.007089 -0.045543
L6.IYK_rtn  -0.047585 -0.040963
L6.ACWI_rtn  0.011215 -0.008358
L7.IYK_rtn   0.056650  0.054702
L7.ACWI_rtn  0.006541 -0.005467
L8.IYK_rtn   0.052568  0.081963
L8.ACWI_rtn -0.051730 -0.070012
L9.IYK_rtn   0.104389  0.159450
L9.ACWI_rtn -0.042927 -0.082813",,,,,,
REM_SUSA,VECM,,,1.0,10.0,"[[-0.01058692]
 [-0.00091498]]","[[ 1.        ]
 [-0.35729316]]","[[ 0.01747466 -0.03016373  0.0054676   0.0381864  -0.03303733  0.05149114
  -0.00687853 -0.01667543 -0.02357483  0.01535775 -0.00491241 -0.0390031
   0.03625056  0.03148746 -0.02392899  0.0286402   0.07585656 -0.02364239
   0.08221574 -0.05313022]
 [ 0.00032478 -0.05043852  0.01195548 -0.00049302 -0.0003813  -0.00287712
  -0.00765404 -0.03995054 -0.01483325  0.02966081  0.01034945 -0.07285879
  -0.01256894  0.09015685 -0.00244065 -0.06886624 -0.00155964  0.09874689
   0.0144927  -0.03425125]]","[[ 6.93184326e-01 -1.84301596e-04]
 [ 6.63054585e-02 -1.06483840e-05]]"
RXI_WOOD,VAR,8.0,"              RXI_rtn  WOOD_rtn
const        0.000451  0.000282
L1.RXI_rtn   0.006631  0.151291
L1.WOOD_rtn -0.044481 -0.175540
L2.RXI_rtn   0.053144  0.092253
L2.WOOD_rtn -0.025761 -0.036301
L3.RXI_rtn  -0.043804  0.002196
L3.WOOD_rtn  0.009535 -0.002251
L4.RXI_rtn  -0.072022 -0.091335
L4.WOOD_rtn  0.049771  0.061864
L5.RXI_rtn  -0.034266 -0.036881
L5.WOOD_rtn  0.035594  0.036845
L6.RXI_rtn  -0.053001 -0.080506
L6.WOOD_rtn  0.013963  0.024435
L7.RXI_rtn  -0.036957 -0.028581
L7.WOOD_rtn  0.059728  0.073731
L8.RXI_rtn  -0.031629 -0.091464
L8.WOOD_rtn  0.002064  0.078133",,,,,,
