,alpha,l1_ratio,Div Yield,Price to Book,Price to Earnings,Total_Ret_Pct_1,Total_Ret_Pct_5,Total_Ret_Pct_21,Total_Ret_Pct_63,Total_Ret_Pct_252,Fast_MACD,Med_MACD,Slow_MACD,Pair_RSI_10,Pair_RSI_21,Pair_RSI_63,Bollinger_10,Bollinger_21,Bollinger_63,zero_cross,days_s_cross,Real Credit Growth,Liquidity Growth,Change in Valuation,IG Credit Spread,HY Credit Spread,TED Spread,VIX Roll,Y_1Fwd_Lagged_1,Y_1Fwd_Lagged_2,Y_1Fwd_Lagged_3,Y_1Fwd_Lagged_4,Y_1Fwd_Lagged_5
*XFN_IJH,0.01,0.3,0.0,-0.0,-0.0,-0.0,-0.002356417210382042,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
*XIC_EZA,0.01,0.1,0.0,-0.00035654595720268874,-0.0,-5.110203061277568e-05,-0.004442851629956567,-0.0014637759184892441,-0.0005887672520321853,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0018950783363593585,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-6.154240865163184e-05,-0.0,0.0,-3.7664843148931774e-05,0.0,-0.0,-0.0,-0.0
*XIU_REM,0.01,0.7,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
BKF_IGM,0.01,0.1,0.0,-0.0,-0.0,-0.00041754320303397243,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0007953678911123463,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0004087974507994864,-0.0,-0.0,-0.0,-0.0
BKF_IVV,0.1,0.001,0.0,0.0,-0.00040084433728336804,-0.0010339878014484249,-0.0021181596367433166,-0.0012460718759651252,-0.00023621244873894926,-0.00022387520539280677,-0.00023325271453935887,-6.070929563475823e-05,-0.0,0.0009020976649361624,0.0001317876029591119,0.0,0.00318521484987689,0.0009965782900163934,0.0003410687463762213,-0.00023749411224370707,0.0,0.0,-0.0005014207489110415,0.00027401434162371965,0.00048038251079885266,0.00025364036235980006,3.013997925923017e-07,0.0004839616182043667,-0.0010339255466396838,-0.0007816825376290656,-0.00034518864642906177,-0.00015576778842553475,-0.0
EWD_THD,1.0,0.001,0.0,-4.1861756256868236e-05,-0.00015421454736297044,-0.00018559814919682664,-0.0004295126595688541,-0.0,-0.00014708937475656954,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.00018559039152882704,-0.0,-0.0,-0.0,0.0
EWG_THD,1.0,0.001,0.0,-0.0,-0.0,-9.497917710164083e-05,-0.0001543698856173476,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-9.497579472245537e-05,-0.0,-0.0,-0.0,0.0
EWH_IJH,0.01,0.1,4.293216288528739e-05,-0.0,-0.0,-0.001831376315495695,-0.002580219149423476,-7.268174210618686e-05,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0014442282189140144,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0018030395038356425,-8.289406940484864e-05,-0.0,-0.0,0.0
EWM_EZA,0.01,0.1,0.0,-0.0,-0.0,-0.0,-0.0014435954718842528,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,9.276977942599824e-05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EWQ_IYG,0.01,0.1,-0.0,-0.0004480571193645179,-0.0,-0.002593020392734669,-0.004276489405127468,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0026348986277088165,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.002546719782876652,-0.000454567977078564,-0.0,0.00021035931491727381,-0.0
EWT_IJH,0.01,0.1,0.0,-0.0,-0.0,-0.0016371842089789091,-0.0027602128315869644,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0014230833409551006,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0016069754289588104,-0.00044207603113518494,0.0,-0.0,0.0
EWT_IJJ,0.01,0.1,0.0,-0.0,-0.0,-0.0017440207745694053,-0.0026742046128796874,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0013411280854711762,3.074155792504273e-05,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.001714674940807899,-0.0005322594716000896,0.0,-0.0,0.0
EWT_IVE,0.01,0.1,0.0,-0.0,-0.0,-0.0018236273438774753,-0.0028230560521032076,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.002110826645216205,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0017926553930917538,-0.0005960057318313515,-0.0,0.0,0.0
EWT_IVV,0.01,0.1,0.0,-0.0,0.0,-0.0017591056396020677,-0.002927686282058678,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.002313552613745073,4.7215777820404415e-06,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0017272573179482082,-0.0006517652291456017,-0.0,-0.0,0.0
EWT_IWB,0.01,0.1,0.0,-0.0,0.0,-0.001741943136345882,-0.0029231086831108142,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.002244188538359644,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.001709878080374621,-0.0006526083971176075,-0.0,-0.0,0.0
EWT_IWV,0.01,0.1,0.0,-0.0,-0.0,-0.0017684747747994522,-0.0028580669509824137,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.002046441989311993,4.2806886521690574e-05,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0017370374360820777,-0.0006352999171066436,-0.0,-0.0,0.0
EZU_THD,1.0,0.001,0.0,-0.0,-0.0,-3.945543526269857e-05,-0.0002248117389670386,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.9452321151369056e-05,-0.0,-0.0,-0.0,0.0
IDU_IVV,0.01,0.3,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
IEV_THD,1.0,0.001,6.237536967470834e-05,-0.0,-0.0,-5.0575440575705675e-05,-0.00015963335595947143,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-5.057290267326991e-05,-0.0,-0.0,-0.0,0.0
IFGL_IHE,0.1,0.01,0.0,-0.0,-0.0,-0.00037361434333859066,-0.00022849626923478016,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0004140232927098561,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.00037329805935104956,-0.0,0.0,-0.0,-0.0
IFGL_IWM,0.01,0.3,0.0,-0.0,0.0,-0.0009296769973555495,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0009165888917173701,-0.0,0.0,-0.0,-0.0
IGM_IHI,0.01,0.3,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
IHE_ACWI,0.1,0.001,0.0,0.0,0.00011090078348501139,-0.00015546005670714785,-0.0007081293722241921,-0.0005261055802235136,-0.0005792702364651839,0.0,-0.0,-0.0,-0.0,0.0,0.0,8.637514192039345e-05,0.0008775060737800468,0.0005700204171653288,0.00023071897561627926,-0.00023290337141086925,5.105369749971056e-05,-0.00011903350076023586,0.0,0.0,-0.00043224020672145747,-0.00044301440594368924,-0.0001362308425144713,-0.0004053028753562687,-0.00015535868592719788,-3.0243035264543857e-05,0.0,-0.000276343115412451,-0.0
IHE_ACWX,0.1,0.001,0.0,-0.0,0.00014129552007789904,-0.0008345567627105762,-0.001968644149674393,-0.0011104831917944638,-0.0009998779037793874,-5.7049288407233244e-05,-0.0001983931236895928,-0.0,-2.0845808343318186e-05,0.0002887039466022857,0.0,0.00034337330272396943,0.0022498958052312914,0.0010471925953730978,0.000351196050799377,-4.173140650593862e-07,-9.511925386334038e-05,-0.0004720123664632995,0.0001934991505556226,0.0,-0.0008645338626765418,-0.00036314456769840205,-5.425309503543302e-05,-0.0007877373020239003,-0.0008345050259468546,-0.0004259693596434139,-0.0,-0.00022714110790810605,-0.0
IHE_SCZ,0.01,0.1,0.0,-0.0,0.0,-0.00033538100553520884,-0.0003664399277850367,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,7.213954980937883e-05,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00033138704818092907,-0.0,0.0,-0.0,-0.0
IHE_TOK,0.1,0.001,0.00014867928823251184,2.9418153141058345e-05,0.00010310044331834358,-0.0,-0.00024968592886646994,-0.0001605278421961339,-0.00028841665186168155,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.00036881807843804884,0.00016158074199364018,7.726923658518106e-05,-0.0,5.246048716793234e-06,-6.936381335821965e-05,-0.0,-0.00012337251950797238,-0.00013838665942237735,-0.00035254863673980736,-0.0,-0.00022952306956566375,-0.0,-0.0,0.0,-0.00037221991980302186,-3.564934772345396e-05
IHE_WOOD,0.01,0.1,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
IHF_ILCB,0.01,0.3,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
IHF_ILCG,0.01,0.1,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
IHF_IUSG,0.01,0.1,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
IHF_IVW,1.0,0.001,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
IHF_IXN,0.01,0.3,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
IJH_ACWI,0.1,0.001,0.0,-0.0,-0.00013289757707414407,-0.0006134274997105179,-0.0006041915911893554,-0.00020227201234635718,-0.0,-1.7699389289013884e-05,-0.0,-0.0,-0.00018252054630898127,6.363074706761804e-05,0.0,0.0,0.00046136295540623806,0.00018443236802116454,0.0,-0.0,8.997251531166991e-05,-0.00013478786069935877,9.506722178943265e-05,6.352943732295635e-05,-0.0,-0.0,-2.1519083507807886e-05,-0.00018872345358867597,-0.0006129058865947973,-0.0003143090312775446,-0.00013159035857707028,0.00011594891155819756,-0.0
IJH_TOK,0.1,0.001,5.388402522756499e-05,-2.7077325278555683e-05,-0.0,-0.00048448711463974596,-0.0003488166125118567,-0.0,-0.0,-0.0,-0.0,-4.140896714116228e-05,-0.0001316383272877413,0.0,0.0,0.0,0.0,0.00013762988261373362,0.0,-0.0,5.237325501346446e-05,-6.457146025566477e-05,0.0,4.102717859776879e-05,-0.0,-0.0,-0.0,-6.135173165373764e-05,-0.00048411913199932025,-0.0003280652560464669,-0.0,6.689595571658538e-05,-0.0
IJH_WOOD,0.01,0.1,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
IJJ_ACWI,0.1,0.001,0.0,-5.4249689832817397e-05,-0.00017509431030877744,-0.0007577872394574154,-0.0004556587259369081,-5.030192026185414e-06,-2.065536315638697e-05,-8.133245427978217e-05,-0.0,-0.0,-0.00010822548207159669,6.6582002662022486e-06,0.0,-0.0,0.0005251620630874943,8.61747747576961e-05,0.0,-0.0,0.0,-5.081119948412176e-05,0.0,0.00014706455331158633,-0.0,0.0,-0.0,-0.00021441617420986343,-0.0007571025650268347,-0.00033884421007100707,-7.334066381990177e-05,0.00022675867566235153,0.0
IMCV_IWM,0.01,0.1,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
IVV_ACWI,0.1,0.001,-0.0,-0.0,-0.00019883012672677368,-0.0006405949627194762,-0.0009686064325956315,-0.0002877243975844225,-0.0,-7.581986130665642e-05,-0.0,-0.0,-0.0,0.0001825492224913967,0.0,0.0,0.0008655049822832847,0.00036187254855959186,0.0,0.0,-0.0,-0.0,5.489209433163044e-05,-7.066465884134235e-05,-1.811810639886688e-05,-0.0,-0.0,-0.0002733985471691065,-0.000639722406618837,-0.0003819977659017948,-9.277848637642496e-05,0.0,0.0
IWB_ACWI,0.1,0.001,-0.0,-0.0,-0.00023786632587324044,-0.000639477835613413,-0.0009080558263379752,-0.0002759628799392665,-0.0,-9.326041541055524e-05,-0.0,-0.0,-0.0,0.00012672648378770225,0.0,0.0,0.000822720173862793,0.0003350236533926882,0.0,0.0,-0.0,-0.0,4.751815120136479e-05,-8.080527369722235e-06,-0.0,-0.0,-0.0,-0.0002471916093044185,-0.0006387459996937675,-0.00037674454303651174,-9.131240218363685e-05,0.0,0.0
IWM_ACWI,0.01,0.1,0.0,-0.0,-0.0,-0.00041616877966572154,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0004116479849834299,-0.0,-0.0,0.0,-0.0
IWM_SCZ,0.01,0.1,0.0,-0.0,0.0,-0.0013574791622023503,-0.0010426469953524942,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013426207058770474,-0.00027384279457784536,0.0,0.0,-0.0
IWM_SUSA,0.01,0.1,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IWM_WOOD,0.01,0.1,0.0,-0.0,0.0,-0.00010853954883112992,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00010736049591041685,-0.0,-0.0,-0.0,-0.0
IWV_ACWI,0.1,0.001,-0.0,-0.0,-0.00023603778585776854,-0.0006717616642984759,-0.0008758549783683405,-0.0002585212969101103,-0.0,-0.00014948321612652047,-0.0,-0.0,-0.0,0.000138069906575145,0.0,-0.0,0.0007361831011122608,0.0003367685417633379,2.397496748201047e-06,0.0,-0.0,-0.0,3.462335197339139e-05,-0.0,-0.0,-0.0,-0.0,-0.00023803940619797549,-0.000670995015002548,-0.0003953966328917277,-9.59023770204852e-05,0.0,0.0
IXP_IYH,0.01,0.1,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
IYH_ACWI,0.1,0.01,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
IYH_TOK,0.1,0.01,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
IYK_ACWI,0.1,0.001,0.0,-0.00020711296585228215,-8.71414858045211e-05,-0.00016066063226409432,-0.0008043592361826288,-0.00029411860523400094,-0.00025094304459537497,-0.0,-0.0,-0.0,0.0,6.873707216524373e-05,0.0,0.0,0.001078685426371261,0.0002079960136730218,3.768601088462581e-05,0.0,-4.8977298751424724e-05,-0.0,0.0,-0.0003155140988556034,-0.0001420339025517813,-0.0,-0.0,-0.00036752639945003427,-0.00016063524753067075,-0.0002594873767706646,-0.0,-7.57721745266379e-05,0.0
REM_SUSA,0.1,0.1,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
RXI_WOOD,0.01,0.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
